BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
204,21,"2,383,021","2,383,021",0,84,"1,100.2","1,185","1,213","4,999","52,493.4"
205,6,"2,383,027","2,383,027",0,11,"5,001.6","5,724","5,979","9,335","59,123"
206,16,"2,383,043","2,383,043",0,7,"1,000.8","1,055","1,192","6,191","62,723.4"
207,1,"2,383,044","2,383,044",0,14,"1,073.4","1,165","1,341","6,402","78,656.2"
208,1,"2,383,045","2,383,045",0,30,"4,285","4,523","4,846","6,933","69,928"
209,1,"2,383,046","2,383,046",0,39,"4,103.4","4,184","4,523","7,441","68,368.8"
210,11,"2,383,057","2,383,057",0,21,603.8,688,731,"4,165","69,813.2"
211,3,"2,383,060","2,383,060",0,56,418,736,907,"3,618","59,099"
212,16,"2,383,076","2,383,076",0,66,"2,506.8","2,850","3,086","4,835","48,328.4"
213,1,"2,383,077","2,383,077",0,9,"2,586","2,976","3,249","5,359","46,129"
214,13,"2,383,090","2,383,090",0,31,"3,597","5,384","5,459","7,758","46,629.4"
215,2,"2,383,092","2,383,092",0,11,"1,013","1,282","1,469","3,603","38,324.6"
216,1,"2,383,093","2,383,093",0,18,532,823,"1,113","3,916","35,437.8"
217,1,"2,383,094","2,383,094",0,16,201.8,325,482,"3,251","34,458.8"
218,25,"2,383,119","2,383,119",0,66,"4,033.8","4,164","4,290","7,121","28,525.2"
219,17,"2,383,136","2,383,136",0,17,"4,343","4,550","4,756","6,706","22,953.4"
220,41,"2,383,177","2,383,177",0,221,"1,050.8","1,125","1,168","3,840","5,259.8"
